name,rank,price,symbol
,1,34600.37,BTC
,2,2148.14,ETH
,3,1.0,USDT
,4,288.04,BNB
,5,1.33,ADA
,6,0.24,DOGE
,7,0.66,XRP
,8,0.99,USDC
,9,15.6,DOT
,10,17.65,UNI
,11,1.0,BUSD
,12,512.36,BCH
,13,139.13,LTC
,14,32.43,SOL
,15,18.73,LINK
,16,1.11,MATIC
,17,34616.79,WBTC
,18,6.66,THETA
,19,0.27,XLM
,20,46.34,ICP
,21,53.74,ETC
,22,0.09,VET
,23,1.0,DAI
,24,58.86,FIL
,25,0.07,TRX
,26,216.27,XMR
,27,3.94,EOS
,28,0.0,SHIB
,29,225.82,AAVE
,30,0.11,CRO
,31,0.86,ALGO
,32,141.13,BSV
,33,34638.66,BTCB
,34,6.0,LUNA
,35,26.32,FTT
,36,1.0,KLAY
,37,11.37,ATOM
,38,13.05,CAKE
,39,34.75,NEO
,40,2.8,XTZ
,41,0.06,AMP
,42,2341.75,MKR
,43,2.42,LEO
,44,0.81,MIOTA
,45,0.4,TFUEL
,46,11.28,AVAX
,47,1.0,UST
,48,137.74,DCR
,49,10.59,HT
,50,16.92,WAVES
,51,0.0,BTT
,52,202.11,KSM
,53,0.56,GRT
,54,0.18,HBAR
,55,295.56,COMP
,56,124.65,ZEC
,57,1.0,TUSD
,58,6.38,RUNE
,59,6.13,CEL
,60,80.65,EGLD
,61,0.24,CHZ
,62,138.15,DASH
,63,0.03,TEL
,64,32023.21,YFI
,65,0.12,XEM
,66,12.42,HNT
,67,0.01,HOT
,68,7.47,SUSHI
,69,0.08,ZIL
,70,1.08,ENJ
,71,0.07,XDC
,72,0.75,STX
,73,0.58,BAT
,74,70.36,QNT
,75,0.54,MANA
,76,47.73,BTG
,77,1.0,PAX
,78,1.98,NEAR
,79,1.6,MDX
,80,1.43,NEXO
,81,6.83,SNX
,82,3.03,CELO
,83,63.97,ZEN
,84,3.2,BNT
,85,7.03,QTUM
,86,0.01,REV
,87,4.94,NANO
,88,0.05,DGB
,89,1.73,CRV
,90,0.06,ONE
,91,10.73,OKB
,92,0.71,ONT
,93,9.73,UMA
,94,0.01,SC
,95,4.14,OMG
,96,0.69,ZRX
,97,0.58,CHSB
,98,7.1,KCS
,99,0.22,FTM
,100,1.0,HUSD
